Threshold,TN,FP,FN,TP,Precision,Recall,Accuracy,F-Score
0,210,46,116,128,73.5632183908,52.4590163934,67.6,61.2440191388
0.05,210,46,116,128,73.5632183908,52.4590163934,67.6,61.2440191388
0.1,218,38,127,117,75.4838709677,47.9508196721,67,58.6466165414
0.15,233,23,144,100,81.3008130081,40.9836065574,66.6,54.4959128065
0.2,241,15,157,87,85.2941176471,35.6557377049,65.6,50.289017341
0.25,246,10,166,78,88.6363636364,31.9672131148,64.8,46.9879518072
0.3,246,10,166,78,88.6363636364,31.9672131148,64.8,46.9879518072
0.35,247,9,170,74,89.156626506,30.3278688525,64.2,45.2599388379
0.4,247,9,170,74,89.156626506,30.3278688525,64.2,45.2599388379
0.45,247,9,170,74,89.156626506,30.3278688525,64.2,45.2599388379
0.5,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.55,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.6,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.65,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.7,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.75,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.8,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.85,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.9,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
0.95,248,8,174,70,89.7435897436,28.6885245902,63.6,43.4782608696
